source-Company,target-Company
Evertec Inc. Common Stock,Evertec Inc.
Exelixis Inc. Common Stock,Exelixis Inc.
Exponent Inc. Common Stock,Exponent Inc.
Express Inc. Common Stock,Express Inc.
Eyenovia Inc. Common Stock,Eyenovia Inc.
Farmmi Inc. Ordinary Shares,Farmmi Inc. Ordinary Shares
Fastenal Company Common Stock,Fastenal Company
FAT Brands Inc. Warrant,FAT Brands Inc. Warrant
FaZe Holdings Inc. Warrant,FaZe Holdings Inc. Warrant
First Bancshares Inc.,First Bancshares Inc.
First Bancorp Common Stock,First Bancorp
Femasys Inc. Common Stock,Femasys Inc.
Ferguson plc Ordinary Shares,Ferguson plc Ordinary Shares
FFBW Inc. Common Stock (MD),FFBW Inc. (MD)
F5 Inc. Common Stock,F5 Inc.
FibroGen Inc Common Stock,FibroGen Inc
FGI Industries Ltd. Warrant,FGI Industries Ltd. Warrant
FG Merger Corp. Common Stock,FG Merger Corp.
FG Merger Corp. Unit,FG Merger Corp. Unit
FG Merger Corp. Warrant,FG Merger Corp. Warrant
Future Health ESG Corp. Unit,Future Health ESG Corp. Unit
FinWise Bancorp Common Stock,FinWise Bancorp
Fiserv Inc. Common Stock,Fiserv Inc.
Five Below Inc. Common Stock,Five Below Inc.
Five9 Inc. Common Stock,Five9 Inc.
Foot Locker Inc.,Foot Locker Inc.
Flex Ltd. Ordinary Shares,Flex Ltd. Ordinary Shares
FLEX LNG Ltd. Ordinary Shares,FLEX LNG Ltd. Ordinary Shares
Fluent Inc. Common Stock,Fluent Inc.
FMC Corporation Common Stock,FMC Corporation
Fabrinet Ordinary Shares,Fabrinet Ordinary Shares
Paragon 28 Inc. Common Stock,Paragon 28 Inc.
Franco-Nevada Corporation,Franco-Nevada Corporation
Finward Bancorp Common Stock,Finward Bancorp
Forian Inc. Common Stock,Forian Inc.
FlexShopper Inc. Common Stock,FlexShopper Inc.
First Bank Common Stock,First Bank
FREYR Battery Ordinary Shares,FREYR Battery Ordinary Shares
JFrog Ltd. Ordinary Shares,JFrog Ltd. Ordinary Shares
Freshpet Inc. Common Stock,Freshpet Inc.
Forza X1 Inc. Common Stock,Forza X1 Inc.
FS Bancorp Inc. Common Stock,FS Bancorp Inc.
First Solar Inc. Common Stock,First Solar Inc.
Fast Radius Inc. Warrants,Fast Radius Inc. Warrants
FTC Solar Inc. Common Stock,FTC Solar Inc.
Frontdoor Inc. Common Stock,Frontdoor Inc.
Fuel Tech Inc. Common Stock,Fuel Tech Inc.
TechnipFMC plc Ordinary Share,TechnipFMC plc Ordinary Share
Fortinet Inc. Common Stock,Fortinet Inc.
Fortis Inc. Common Shares,Fortis Inc. Common Shares
fuboTV Inc. Common Stock,fuboTV Inc.
Cedar Fair L.P. Common Stock,Cedar Fair L.P.
Arcimoto Inc. Common Stock,Arcimoto Inc.
FVCBankcorp Inc. Common Stock,FVCBankcorp Inc.
Genpact Limited Common Stock,Genpact Limited
GAN Limited Ordinary Shares,GAN Limited Ordinary Shares
StealthGas Inc. Common Stock,StealthGas Inc.
GATX Corporation Common Stock,GATX Corporation
Galiano Gold Inc.,Galiano Gold Inc.
Gannett Co. Inc. Common Stock,Gannett Co. Inc.
GCM Grosvenor Inc. Warrant,GCM Grosvenor Inc. Warrant
Genesco Inc. Common Stock,Genesco Inc.
GlucoTrack Inc. Common Stock,GlucoTrack Inc.
GDS Holdings Limited ADS,GDS Holdings Limited ADS
Gen Digital Inc. Common Stock,Gen Digital Inc.
Genetic Technologies Ltd ADS,Genetic Technologies Ltd ADS
Geo Group Inc (The) REIT,Geo Group Inc (The) REIT
Guess? Inc. Common Stock,Guess? Inc.
Gevo Inc. Common Stock,Gevo Inc.
Gerdau S.A. Common Stock,Gerdau S.A.
Green Giant Inc. Common Stock,Green Giant Inc.
Graco Inc. Common Stock,Graco Inc.
Gogoro Inc. Ordinary Shares,Gogoro Inc. Ordinary Shares
Gogoro Inc. Warrant,Gogoro Inc. Warrant
Gores Holdings IX Inc. Unit,Gores Holdings IX Inc. Unit
CGI Inc. Common Stock,CGI Inc.
Gores Holdings VIII Inc. Unit,Gores Holdings VIII Inc. Unit
Globe Life Inc. Common Stock,Globe Life Inc.
GoldMining Inc. Common Shares,GoldMining Inc. Common Shares
TD Holdings Inc. Common Stock,TD Holdings Inc.
Golar Lng Ltd,Golar Lng Ltd
Globant S.A. Common Shares,Globant S.A. Common Shares
Galecto Inc. Common Stock,Galecto Inc.
Genmab A/S ADS,Genmab A/S ADS
GMS Inc. Common Stock,GMS Inc.
Genprex Inc. Common Stock,Genprex Inc.
Genasys Inc. Common Stock,Genasys Inc.
Canoo Inc. Warrant,Canoo Inc. Warrant
Gogo Inc. Common Stock,Gogo Inc.
GeoVax Labs Inc. Common Stock,GeoVax Labs Inc.
GeoVax Labs Inc. Warrants,GeoVax Labs Inc. Warrants
Geopark Ltd Common Shares,Geopark Ltd Common Shares
Gap Inc. (The) Common Stock,Gap Inc. (The)
Grab Holdings Limited Warrant,Grab Holdings Limited Warrant
Muscle Maker Inc Common Stock,Muscle Maker Inc
Groupon Inc. Common Stock,Groupon Inc.
Globalstar Inc. Common Stock,Globalstar Inc.
Gores Holdings VII Inc. Units,Gores Holdings VII Inc. Units
GSI Technology Common Stock,GSI Technology
Genetron Holdings Limited ADS,Genetron Holdings Limited ADS
GSE Systems Inc. Common Stock,GSE Systems Inc.
ESS Tech Inc. Common Stock,ESS Tech Inc.
GX Acquisition Corp. II Unit,GX Acquisition Corp. II Unit
Gyrodyne LLC Common Stock,Gyrodyne LLC
Hasbro Inc. Common Stock,Hasbro Inc.
Hanesbrands Inc. Common Stock,Hanesbrands Inc.
HCI Group Inc. Common Stock,HCI Group Inc.
HCM Acquisition Corp Warrant,HCM Acquisition Corp Warrant
Heico Corporation,Heico Corporation
Hess Corporation Common Stock,Hess Corporation
HEXO Corp. Common Shares,HEXO Corp. Common Shares
Highland Income Fund,Highland Income Fund
Humanigen Inc. Common Stock,Humanigen Inc.
HHG Capital Corporation Units,HHG Capital Corporation Units
Harte-Hanks Inc. Common Stock,Harte-Hanks Inc.
Hillenbrand Inc Common Stock,Hillenbrand Inc
Hibbett Inc. Common Stock,Hibbett Inc.
High Tide Inc. Common Shares,High Tide Inc. Common Shares
Helbiz Inc. Warrant,Helbiz Inc. Warrant
Heliogen Inc. Common Stock,Heliogen Inc.
Harmonic Inc. Common Stock,Harmonic Inc.
Holley Inc. Common Stock,Holley Inc.
Cue Health Inc. Common Stock,Cue Health Inc.
HilleVax Inc. Common Stock,HilleVax Inc.
HomeStreet Inc. Common Stock,HomeStreet Inc.
HNI Corporation Common Stock,HNI Corporation
Hologic Inc. Common Stock,Hologic Inc.
Hour Loop Inc. Common Stock,Hour Loop Inc.
HighPeak Energy Inc. Warrant,HighPeak Energy Inc. Warrant
HP Inc. Common Stock,HP Inc.
H&R Block Inc. Common Stock,H&R Block Inc.
Histogen Inc. Common Stock,Histogen Inc.
Hilltop Holdings Inc.,Hilltop Holdings Inc.
Fusion Fuel Green PLC Warrant,Fusion Fuel Green PLC Warrant
Hubbell Inc Common Stock,Hubbell Inc
HubSpot Inc. Common Stock,HubSpot Inc.
Humana Inc. Common Stock,Humana Inc.
Humacyte Inc. Common Stock,Humacyte Inc.
Humacyte Inc. Warrant,Humacyte Inc. Warrant
HV Bancorp Inc. Common Stock,HV Bancorp Inc.
Hawkins Inc. Common Stock,Hawkins Inc.
HyreCar Inc. Common Stock,HyreCar Inc.
Hyzon Motors Inc. Warrants,Hyzon Motors Inc. Warrants
IAA Inc. Common Stock,IAA Inc.
IAC Inc. Common Stock,IAC Inc.
i-80 Gold Corp. Common Shares,i-80 Gold Corp. Common Shares
IBEX Limited Common Shares,IBEX Limited Common Shares
iBio Inc. Common Stock,iBio Inc.
ImmunityBio Inc. Common Stock,ImmunityBio Inc.
iCAD Inc. Common Stock,iCAD Inc.
ICON plc Ordinary Shares,ICON plc Ordinary Shares
ICU Medical Inc. Common Stock,ICU Medical Inc.
Icosavax Inc. Common Stock,Icosavax Inc.
IDACORP Inc. Common Stock,IDACORP Inc.
Ideanomics Inc. Common Stock,Ideanomics Inc.
IDEX Corporation Common Stock,IDEX Corporation
InflaRx N.V. Common Stock,InflaRx N.V.
IG Acquisition Corp. Unit,IG Acquisition Corp. Unit
IG Acquisition Corp. Warrant,IG Acquisition Corp. Warrant
Illumina Inc. Common Stock,Illumina Inc.
IMAC Holdings Inc. Warrant,IMAC Holdings Inc. Warrant
Imax Corporation Common Stock,Imax Corporation
ImmunoGen Inc. Common Stock,ImmunoGen Inc.
Immunome Inc. Common Stock,Immunome Inc.
Imunon Inc. Common Stock,Imunon Inc.
IMARA Inc. Common Stock,IMARA Inc.
Immatics N.V. Ordinary Shares,Immatics N.V. Ordinary Shares
Immatics N.V. Warrants,Immatics N.V. Warrants
Immunic Inc. Common Stock,Immunic Inc.
IMV Inc. Common Shares,IMV Inc. Common Shares
Immunovant Inc. Common Stock,Immunovant Inc.
IN8bio Inc. Common Stock,IN8bio Inc.
Inhibrx Inc. Common Stock,Inhibrx Inc.
Incyte Corp. Common Stock,Incyte Corp.
ING Group N.V. Common Stock,ING Group N.V.
Inogen Inc Common Stock,Inogen Inc
INmune Bio Inc. Common stock,INmune Bio Inc.
InMode Ltd. Ordinary Shares,InMode Ltd. Ordinary Shares
Innodata Inc. Common Stock,Innodata Inc.
Inpixon Common Stock,Inpixon
Inseego Corp. Common Stock,Inseego Corp.
Insight Select Income Fund,Insight Select Income Fund
Insmed Inc. Common Stock,Insmed Inc.
Intapp Inc. Common Stock,Intapp Inc.
Intuit Inc. Common Stock,Intuit Inc.
Intrusion Inc. Common Stock,Intrusion Inc.
Inuvo Inc.,Inuvo Inc.
Innoviva Inc. Common Stock,Innoviva Inc.
Identiv Inc. Common Stock,Identiv Inc.
IO Biotech Inc. Common Stock,IO Biotech Inc.
IonQ Inc. Common Stock,IonQ Inc.
Innospec Inc. Common Stock,Innospec Inc.
Innate Pharma S.A. ADS,Innate Pharma S.A. ADS
iPower Inc. Common Stock,iPower Inc.
Ideal Power Inc. Common Stock,Ideal Power Inc.
Iris Acquisition Corp Units,Iris Acquisition Corp Units
Iris Acquisition Corp Warrant,Iris Acquisition Corp Warrant
IronNet Inc. Common Stock,IronNet Inc.
IF Bancorp Inc. Common Stock,IF Bancorp Inc.
IVERIC bio Inc. Common Stock,IVERIC bio Inc.
iSpecimen Inc. Common Stock,iSpecimen Inc.
IsoRay Inc. Common Stock (DE),IsoRay Inc. (DE)
iSun Inc. Common Stock,iSun Inc.
Gartner Inc. Common Stock,Gartner Inc.
Iteris Inc. Common Stock,Iteris Inc.
Itron Inc. Common Stock,Itron Inc.
ITT Inc. Common Stock,ITT Inc.
Intevac Inc. Common Stock,Intevac Inc.
Iveda Solutions Inc. Warrant,Iveda Solutions Inc. Warrant
Invivyd Inc. Common Stock,Invivyd Inc.
Invesco Ltd Common Stock,Invesco Ltd
Orix Corp Ads Common Stock,Orix Corp Ads
IX Acquisition Corp. Unit,IX Acquisition Corp. Unit
IX Acquisition Corp. Warrant,IX Acquisition Corp. Warrant
JanOne Inc. Common Stock (NV),JanOne Inc. (NV)
Jabil Inc. Common Stock,Jabil Inc.
Jeffs' Brands Ltd Warrant,Jeffs' Brands Ltd Warrant
J. Jill Inc. Common Stock,J. Jill Inc.
JOANN Inc. Common Stock,JOANN Inc.
GEE Group Inc. Common Stock,GEE Group Inc.
Jupiter Wellness Inc. Warrant,Jupiter Wellness Inc. Warrant
Nordstrom Inc. Common Stock,Nordstrom Inc.
The Joint Corp. Common Stock,The Joint Corp.
Kellogg Company Common Stock,Kellogg Company
Kadant Inc Common Stock,Kadant Inc
Kairos Acquisition Corp. Unit,Kairos Acquisition Corp. Unit
Karooooo Ltd. Ordinary Shares,Karooooo Ltd. Ordinary Shares
KB Financial Group Inc,KB Financial Group Inc
KB Home Common Stock,KB Home
Kubient Inc. Common Stock,Kubient Inc.
KBR Inc. Common Stock,KBR Inc.
Akerna Corp. Common Stock,Akerna Corp.
Akerna Corp Warrant,Akerna Corp Warrant
KeyCorp Common Stock,KeyCorp
Kforce Inc. Common Stock,Kforce Inc.
Korn Ferry Common Stock,Korn Ferry
Kirkland's Inc. COMMONSTOCK,Kirkland's Inc. COMMONSTOCK
KKR & Co. Inc. Common Stock,KKR & Co. Inc.
KLA Corporation Common Stock,KLA Corporation
KL Acquisition Corp Unit,KL Acquisition Corp Unit
Kaleyra Inc. Common Stock,Kaleyra Inc.
Kaltura Inc. Common Stock,Kaltura Inc.
Kamada Ltd. Ordinary Shares,Kamada Ltd. Ordinary Shares
KemPharm Inc. Common Stock,KemPharm Inc.
Kemper Corporation,Kemper Corporation
Kennametal Inc. Common Stock,Kennametal Inc.
CarMax Inc,CarMax Inc
Know Labs Inc. Common Stock,Know Labs Inc.
Koss Corporation Common Stock,Koss Corporation
Kronos Bio Inc. Common Stock,Kronos Bio Inc.
KT Corporation Common Stock,KT Corporation
DWS Municipal Income Trust,DWS Municipal Income Trust
Quaker Houghton Common Stock,Quaker Houghton
nLIGHT Inc. Common Stock,nLIGHT Inc.
LatAmGrowth SPAC Warrants,LatAmGrowth SPAC Warrants
CS Disco Inc. Common Stock,CS Disco Inc.
8i Acquisition 2 Corp. Rights,8i Acquisition 2 Corp. Rights
8i Acquisition 2 Corp. Unit,8i Acquisition 2 Corp. Unit
Locafy Limited Ordinary Share,Locafy Limited Ordinary Share
Lannett Co Inc Common Stock,Lannett Co Inc
Lucid Group Inc. Common Stock,Lucid Group Inc.
LCI Industries,LCI Industries
LCNB Corporation Common Stock,LCNB Corporation
LDH Growth Corp I Units,LDH Growth Corp I Units
LDH Growth Corp I Warrant,LDH Growth Corp I Warrant
Lands' End Inc. Common Stock,Lands' End Inc.
Lear Corporation Common Stock,Lear Corporation
Leslie's Inc. Common Stock,Leslie's Inc.
Leafly Holdings Inc. Warrant,Leafly Holdings Inc. Warrant
LifeMD Inc. Common Stock,LifeMD Inc.
Littelfuse Inc. Common Stock,Littelfuse Inc.
LGI Homes Inc. Common Stock,LGI Homes Inc.
LogicMark Inc. Common Stock,LogicMark Inc.
Largo Inc. Common Shares,Largo Inc. Common Shares
Legato Merger Corp. II Unit,Legato Merger Corp. II Unit
LHC Group Common Stock,LHC Group
AEye Inc. Warrant,AEye Inc. Warrant
aTyr Pharma Inc. Common Stock,aTyr Pharma Inc.
Lilium N.V. Warrants,Lilium N.V. Warrants
Linde plc Ordinary Share,Linde plc Ordinary Share
Lionheart III Corp Unit,Lionheart III Corp Unit
Lionheart III Corp Warrant,Lionheart III Corp Warrant
LivaNova PLC Ordinary Shares,LivaNova PLC Ordinary Shares
LKQ Corporation Common Stock,LKQ Corporation
LumiraDx Limited Warrant,LumiraDx Limited Warrant
Lemonade Inc. Common Stock,Lemonade Inc.
Limoneira Co Common Stock,Limoneira Co
LINKBANCORP Inc. Common Stock,LINKBANCORP Inc.
LENSAR Inc. Common Stock,LENSAR Inc.
Manhattan Bridge Capital Inc,Manhattan Bridge Capital Inc
Comstock Inc. Common Stock,Comstock Inc.
CarLotz Inc. Warrant,CarLotz Inc. Warrant
Lipocine Inc. Common Stock,Lipocine Inc.
Dorian LPG Ltd. Common Stock,Dorian LPG Ltd.
LivePerson Inc. Common Stock,LivePerson Inc.
Loop Media Inc. Common Stock,Loop Media Inc.
Stride Inc. Common Stock,Stride Inc.
Latch Inc. Common Stock,Latch Inc.
Lantronix Inc. Common Stock,Lantronix Inc.
Lottery.com Inc. Common Stock,Lottery.com Inc.
Lottery.com Inc. Warrants,Lottery.com Inc. Warrants
LiveOne Inc. Common Stock,LiveOne Inc.
LiveVox Holdings Inc. Warrant,LiveVox Holdings Inc. Warrant
Levere Holdings Corp. Warrant,Levere Holdings Corp. Warrant
Macy's Inc Common Stock,Macy's Inc
ManpowerGroup Common Stock,ManpowerGroup
WM Technology Inc. Warrants,WM Technology Inc. Warrants
908 Devices Inc. Common Stock,908 Devices Inc.
Mattel Inc. Common Stock,Mattel Inc.
Matson Inc. Common Stock,Matson Inc.
Maxar Technologies Inc.,Maxar Technologies Inc.
J. W. Mays Inc. Common Stock,J. W. Mays Inc.
MBIA Inc. Common Stock,MBIA Inc.
Mustang Bio Inc. Common Stock,Mustang Bio Inc.
Medigus Ltd. Series C Warrant,Medigus Ltd. Series C Warrant
MDJM LTD Ordinary Share,MDJM LTD Ordinary Share
MiMedx Group Inc Common Stock,MiMedx Group Inc
MEDIFAST INC Common Stock,MEDIFAST INC
MEI Pharma Inc. Common Stock,MEI Pharma Inc.
MetLife Inc. Common Stock,MetLife Inc.
MFA Financial Inc.,MFA Financial Inc.
MGE Energy Inc,MGE Energy Inc
Magnite Inc. Common Stock,Magnite Inc.
MacroGenics Inc. Common Stock,MacroGenics Inc.
MGP Ingredients Inc.,MGP Ingredients Inc.
McGrath RentCorp Common Stock,McGrath RentCorp
Maiden Holdings Ltd.,Maiden Holdings Ltd.
M/I Homes Inc. Common Stock,M/I Homes Inc.
MICT Inc. Common Stock,MICT Inc.
Minim Inc. Common Stock,Minim Inc.
MillerKnoll Inc. Common Stock,MillerKnoll Inc.
3M Company Common Stock,3M Company
Maximus Inc. Common Stock,Maximus Inc.
Medicinova Inc Common Stock,Medicinova Inc
Monro Inc. Common Stock,Monro Inc.
Monster Beverage Corporation,Monster Beverage Corporation
Momentus Inc. Warrant,Momentus Inc. Warrant
Altria Group Inc.,Altria Group Inc.
Mobilicom Limited Warrants,Mobilicom Limited Warrants
Mobiv Acquisition Corp Unit,Mobiv Acquisition Corp Unit
Model N Inc. Common Stock,Model N Inc.
ModivCare Inc. Common Stock,ModivCare Inc.
Mogo Inc. Common Shares,Mogo Inc. Common Shares
Morningstar Inc. Common Stock,Morningstar Inc.
Movano Inc. Common Stock,Movano Inc.
Mid Penn Bancorp Common Stock,Mid Penn Bancorp
MRC Global Inc. Common Stock,MRC Global Inc.
Moderna Inc. Common Stock,Moderna Inc.
Merus N.V. Common Shares,Merus N.V. Common Shares
Morgan Stanley Common Stock,Morgan Stanley
Mesabi Trust Common Stock,Mesabi Trust
MSCI Inc Common Stock,MSCI Inc
MSD Acquisition Corp. Unit,MSD Acquisition Corp. Unit
MSD Acquisition Corp. Warrant,MSD Acquisition Corp. Warrant
MSP Recovery Inc. Warrant,MSP Recovery Inc. Warrant
MSP Recovery Inc. Warrant,MSP Recovery Inc. Warrant
CareCloud Inc. Common Stock,CareCloud Inc.
MMTec Inc. Common Shares,MMTec Inc. Common Shares
Match Group Inc. Common Stock,Match Group Inc.
Metacrine Inc. Common Stock,Metacrine Inc.
Materion Corporation,Materion Corporation
MasTec Inc. Common Stock,MasTec Inc.
Murphy USA Inc. Common Stock,Murphy USA Inc.
MicroVision Inc. Common Stock,MicroVision Inc.
MaxCyte Inc. Common Stock,MaxCyte Inc.
MaxLinear Inc. Common Stock,MaxLinear Inc.
Myomo Inc. Common Stock,Myomo Inc.
MYR Group Inc. Common Stock,MYR Group Inc.
My Size Inc. Common Stock,My Size Inc.
N-able Inc. Common Stock,N-able Inc.
Northeast Bank Common Stock,Northeast Bank
Nabors Industries Ltd.,Nabors Industries Ltd.
NBT Bancorp Inc. Common Stock,NBT Bancorp Inc.
nCino Inc. Common Stock,nCino Inc.
Netcapital Inc. Common Stock,Netcapital Inc.
Netcapital Inc. Warrants,Netcapital Inc. Warrants
NCR Corporation Common Stock,NCR Corporation
Nocera Inc. Common Stock,Nocera Inc.
Nasdaq Inc. Common Stock,Nasdaq Inc.
Newmont Corporation,Newmont Corporation
NeoGenomics Inc. Common Stock,NeoGenomics Inc.
Neonode Inc. Common Stock,Neonode Inc.
NeoVolta Inc. Common Stock,NeoVolta Inc.
Nephros Inc. Common Stock,Nephros Inc.
Eneti Inc. Common Stock,Eneti Inc.
NewMarket Corp Common Stock,NewMarket Corp
New Relic Inc. Common Stock,New Relic Inc.
NexImmune Inc. Common Stock,NexImmune Inc.
Netflix Inc. Common Stock,Netflix Inc.
Novagold Resources Inc.,Novagold Resources Inc.
New Gold Inc.,New Gold Inc.
NeoGames S.A. Ordinary Shares,NeoGames S.A. Ordinary Shares
NantHealth Inc. Common Stock,NantHealth Inc.
NiSource Inc Common Stock,NiSource Inc
Nike Inc. Common Stock,Nike Inc.
Nkarta Inc. Common Stock,Nkarta Inc.
Nautilus Inc. Common Stock,Nautilus Inc.
NextNav Inc. Common Stock,NextNav Inc.
NextNav Inc. Warrant,NextNav Inc. Warrant
NN Inc. Common Stock,NN Inc.
Nelnet Inc. Common Stock,Nelnet Inc.
Noah Holdings Limited,Noah Holdings Limited
NI Holdings Inc. Common Stock,NI Holdings Inc.
Nogin Inc. Common Stock,Nogin Inc.
Nogin Inc. Warrant,Nogin Inc. Warrant
Inotiv Inc. Common Stock,Inotiv Inc.
NOV Inc. Common Stock,NOV Inc.
Novan Inc. Common Stock,Novan Inc.
Novanta Inc. Common Stock,Novanta Inc.
ServiceNow Inc. Common Stock,ServiceNow Inc.
Neuropace Inc. Common Stock,Neuropace Inc.
EnPro Industries Inc,EnPro Industries Inc
NRG Energy Inc. Common Stock,NRG Energy Inc.
Insperity Inc. Common Stock,Insperity Inc.
InspireMD Inc. Common Stock,InspireMD Inc.
NetApp Inc. Common Stock,NetApp Inc.
NETGEAR Inc. Common Stock,NETGEAR Inc.
Nutrien Ltd. Common Shares,Nutrien Ltd. Common Shares
Natera Inc. Common Stock,Natera Inc.
Nutriband Inc. Common Stock,Nutriband Inc.
Nutriband Inc. Warrant,Nutriband Inc. Warrant
NetSTREIT Corp. Common Stock,NetSTREIT Corp.
Natuzzi S.p.A.,Natuzzi S.p.A.
NeuroMetrix Inc. Common Stock,NeuroMetrix Inc.
NuVasive Inc. Common Stock,NuVasive Inc.
Nuwellis Inc. Common Stock,Nuwellis Inc.
NuZee Inc. Common Stock,NuZee Inc.
Novavax Inc. Common Stock,Novavax Inc.
Neovasc Inc. Common Shares,Neovasc Inc. Common Shares
NVE Corporation Common Stock,NVE Corporation
NV5 Global Inc. Common Stock,NV5 Global Inc.
Nova Ltd. Ordinary Shares,Nova Ltd. Ordinary Shares
Novo Nordisk A/S Common Stock,Novo Nordisk A/S
NVR Inc. Common Stock,NVR Inc.
Nevro Corp. Common Stock,Nevro Corp.
Novartis AG Common Stock,Novartis AG
Nuvve Holding Corp. Warrant,Nuvve Holding Corp. Warrant
NWTN Inc. Warrant,NWTN Inc. Warrant
NexGel Inc Common Stock,NexGel Inc
NexGel Inc Warrant,NexGel Inc Warrant
NextPlat Corp Common Stock,NextPlat Corp
NextPlat Corp Warrants,NextPlat Corp Warrants
NextCure Inc. Common Stock,NextCure Inc.
Nayax Ltd. Ordinary Shares,Nayax Ltd. Ordinary Shares
Nyxoah SA Ordinary Shares,Nyxoah SA Ordinary Shares
OmniAb Inc. Common Stock,OmniAb Inc.
OmniAb Inc. Warrant,OmniAb Inc. Warrant
Outbrain Inc. Common Stock,Outbrain Inc.
Oblong Inc. Common Stock,Oblong Inc.
ObsEva SA Ordinary Shares,ObsEva SA Ordinary Shares
OCA Acquisition Corp. Unit,OCA Acquisition Corp. Unit
