source-Company,target-Company
OCA Acquisition Corp. Warrant,OCA Acquisition Corp. Warrant
Ocugen Inc. Common Stock,Ocugen Inc.
OFG Bancorp Common Stock,OFG Bancorp
Omega Flex Inc. Common Stock,Omega Flex Inc.
OGE Energy Corp Common Stock,OGE Energy Corp
Oragenics Inc. Common Stock,Oragenics Inc.
Organon & Co. Common Stock,Organon & Co.
ONE Gas Inc. Common Stock,ONE Gas Inc.
OPY Acquisition Corp. I Units,OPY Acquisition Corp. I Units
Orion Acquisition Corp. Unit,Orion Acquisition Corp. Unit
O-I Glass Inc. Common Stock,O-I Glass Inc.
ONEOK Inc. Common Stock,ONEOK Inc.
Olin Corporation Common Stock,Olin Corporation
Olo Inc. Class A Common Stock,Olo Inc. Class A
OMNIQ Corp. Common Stock,OMNIQ Corp.
Oncorus Inc. Common Stock,Oncorus Inc.
Onfolio Holdings Inc. Warrant,Onfolio Holdings Inc. Warrant
ON24 Inc. Common Stock,ON24 Inc.
Ooma Inc. Common Stock,Ooma Inc.
OceanPal Inc. Common Stock,OceanPal Inc.
OPAL Fuels Inc. Warrant,OPAL Fuels Inc. Warrant
OP Bancorp Common Stock,OP Bancorp
OpGen Inc. Common Stock,OpGen Inc.
OPKO Health Inc. Common Stock,OPKO Health Inc.
OptiNose Inc. Common Stock,OptiNose Inc.
Orange,Orange
Orgenesis Inc. Common Stock,Orgenesis Inc.
OneSpan Inc. Common Stock,OneSpan Inc.
Otonomy Inc. Common Stock,Otonomy Inc.
Ontrak Inc. Common Stock,Ontrak Inc.
Ouster Inc. Common Stock,Ouster Inc.
Ovintiv Inc. (DE),Ovintiv Inc. (DE)
Bank OZK Common Stock,Bank OZK
PacWest Bancorp Common Stock,PacWest Bancorp
Pioneer Merger Corp. Unit,Pioneer Merger Corp. Unit
Pioneer Merger Corp. Warrant,Pioneer Merger Corp. Warrant
Paltalk Inc. Common Stock,Paltalk Inc.
Passage Bio Inc. Common Stock,Passage Bio Inc.
PAVmed Inc. Common Stock,PAVmed Inc.
PAVmed Inc. Series Z Warrant,PAVmed Inc. Series Z Warrant
Payoneer Global Inc. Warrant,Payoneer Global Inc. Warrant
Paysign Inc. Common Stock,Paysign Inc.
Paychex Inc. Common Stock,Paychex Inc.
PACCAR Inc. Common Stock,PACCAR Inc.
PCB Bancorp Common Stock,PCB Bancorp
PCM Fund Inc. Common Stock,PCM Fund Inc.
PCTEL Inc. Common Stock,PCTEL Inc.
Vaxcyte Inc. Common Stock,Vaxcyte Inc.
PagerDuty Inc. Common Stock,PagerDuty Inc.
Pro-Dex Inc. Common Stock,Pro-Dex Inc.
Pedevco Corp. Common Stock,Pedevco Corp.
Pegasystems Inc. Common Stock,Pegasystems Inc.
Penumbra Inc. Common Stock,Penumbra Inc.
PepsiCo Inc. Common Stock,PepsiCo Inc.
PepGen Inc. Common Stock,PepGen Inc.
Wag! Group Co. Common Stock,Wag! Group Co.
PetVivo Holdings Inc. Warrant,PetVivo Holdings Inc. Warrant
Wag! Group Co Warrant,Wag! Group Co Warrant
Preferred Bank Common Stock,Preferred Bank
Pfizer Inc. Common Stock,Pfizer Inc.
PIMCO Income Strategy Fund II,PIMCO Income Strategy Fund II
PFSweb Inc. Common Stock,PFSweb Inc.
Precigen Inc. Common Stock,Precigen Inc.
Progyny Inc. Common Stock,Progyny Inc.
PGT Innovations Inc.,PGT Innovations Inc.
BiomX Inc. COmmon Stock,BiomX Inc.
PLDT Inc. Sponsored ADR,PLDT Inc. Sponsored ADR
PulteGroup Inc. Common Stock,PulteGroup Inc.
Phreesia Inc. Common Stock,Phreesia Inc.
Pioneer High Income Fund Inc.,Pioneer High Income Fund Inc.
Phunware Inc. Common Stock,Phunware Inc.
Phunware Inc. Warrants,Phunware Inc. Warrants
Impinj Inc. Common Stock,Impinj Inc.
Polaris Inc. Common Stock,Polaris Inc.
Kidpik Corp. Common Stock,Kidpik Corp.
ShiftPixy Inc. Common Stock,ShiftPixy Inc.
Peak Bio Inc. Common Stock,Peak Bio Inc.
Peak Bio Inc. Warrant,Peak Bio Inc. Warrant
PerkinElmer Inc. Common Stock,PerkinElmer Inc.
Photronics Inc. Common Stock,Photronics Inc.
Plumas Bancorp,Plumas Bancorp
PLBY Group Inc. Common Stock,PLBY Group Inc.
Prologis Inc. Common Stock,Prologis Inc.
Plug Power Inc. Common Stock,Plug Power Inc.
Pluri Inc. Common Stock,Pluri Inc.
ePlus inc. Common Stock,ePlus inc.
PLx Pharma Inc. Common Stock,PLx Pharma Inc.
Plexus Corp. Common Stock,Plexus Corp.
Psychemedics Corporation,Psychemedics Corporation
Pentair plc. Ordinary Share,Pentair plc. Ordinary Share
Polished Inc. Common Stock,Polished Inc.
Polar Power Inc. Common Stock,Polar Power Inc.
Pono Capital Corp Unit,Pono Capital Corp Unit
Pono Capital Corp Warrant,Pono Capital Corp Warrant
Pool Corporation Common Stock,Pool Corporation
Powered Brands Units,Powered Brands Units
Powered Brands Warrants,Powered Brands Warrants
AMMO Inc. Common Stock,AMMO Inc.
Pacific Premier Bancorp Inc,Pacific Premier Bancorp Inc
PPL Corporation Common Stock,PPL Corporation
PRA Group Inc. Common Stock,PRA Group Inc.
Porch Group Inc. Common Stock,Porch Group Inc.
Perficient Inc. Common Stock,Perficient Inc.
Primerica Inc. Common Stock,Primerica Inc.
Proto Labs Inc. Common stock,Proto Labs Inc.
Procaps Group S.A. Warrants,Procaps Group S.A. Warrants
Precipio Inc. Common Stock,Precipio Inc.
Peraso Inc. Common Stock,Peraso Inc.
Prospector Capital Corp. Unit,Prospector Capital Corp. Unit
Public Storage Common Stock,Public Storage
Paysafe Limited Common Shares,Paysafe Limited Common Shares
PriceSmart Inc. Common Stock,PriceSmart Inc.
Personalis Inc. Common Stock,Personalis Inc.
Pearson Plc Common Stock,Pearson Plc
Phillips 66 Common Stock,Phillips 66
PTC Inc. Common Stock,PTC Inc.
PolarityTE Inc. Common Stock,PolarityTE Inc.
Proterra Inc. Common Stock,Proterra Inc.
Partners Bancorp Common Stock,Partners Bancorp
Pono Capital Two Inc. Unit,Pono Capital Two Inc. Unit
Goal Acquisitions Corp. Unit,Goal Acquisitions Corp. Unit
Pulmatrix Inc. Common Stock,Pulmatrix Inc.
PVH Corp. Common Stock,PVH Corp.
Power REIT (MD) Common Stock,Power REIT (MD)
PowerFleet Inc. Common Stock,PowerFleet Inc.
P10 Inc. Class A Common Stock,P10 Inc. Class A
Pixelworks Inc. Common Stock,Pixelworks Inc.
PaxMedica Inc. Common Stock,PaxMedica Inc.
Pyxis Tankers Inc. Warrant,Pyxis Tankers Inc. Warrant
Paycor HCM Inc. Common Stock,Paycor HCM Inc.
PolyPid Ltd. Ordinary Shares,PolyPid Ltd. Ordinary Shares
Qiagen N.V. Common Shares,Qiagen N.V. Common Shares
Qualys Inc. Common Stock,Qualys Inc.
QuinStreet Inc. Common Stock,QuinStreet Inc.
Qorvo Inc. Common Stock,Qorvo Inc.
QualTek Services Inc. Warrant,QualTek Services Inc. Warrant
Q2 Holdings Inc. Common Stock,Q2 Holdings Inc.
Qumu Corporation Common Stock,Qumu Corporation
uniQure N.V. Ordinary Shares,uniQure N.V. Ordinary Shares
Ferrari N.V. Common Shares,Ferrari N.V. Common Shares
RBB Bancorp Common Stock,RBB Bancorp
RENN Fund Inc Common Stock,RENN Fund Inc
R1 RCM Inc. Common Stock,R1 RCM Inc.
Renovacor Inc. Common Stock,Renovacor Inc.
Radcom Ltd. Ordinary Shares,Radcom Ltd. Ordinary Shares
RadNet Inc. Common Stock,RadNet Inc.
Red Violet Inc. Common Stock,Red Violet Inc.
Radware Ltd. Ordinary Shares,Radware Ltd. Ordinary Shares
Reeds Inc. Common Stock,Reeds Inc.
Ring Energy Inc. Common Stock,Ring Energy Inc.
RPC Inc. Common Stock,RPC Inc.
REV Group Inc. Common Stock,REV Group Inc.
RF Acquisition Corp. Rights,RF Acquisition Corp. Rights
Royal Gold Inc. Common Stock,Royal Gold Inc.
REGENXBIO Inc. Common Stock,REGENXBIO Inc.
RH Common Stock,RH
Rio Tinto Plc Common Stock,Rio Tinto Plc
RLI Corp. Common Stock (DE),RLI Corp. (DE)
Rambus Inc. Common Stock,Rambus Inc.
ResMed Inc. Common Stock,ResMed Inc.
RenovoRx Inc. Common Stock,RenovoRx Inc.
Roivant Sciences Ltd. Warrant,Roivant Sciences Ltd. Warrant
Rollins Inc. Common Stock,Rollins Inc.
Ross Stores Inc. Common Stock,Ross Stores Inc.
Rapid7 Inc. Common Stock,Rapid7 Inc.
RPT Realty Common Stock,RPT Realty
RPT Realty 7.25%,RPT Realty 7.25%
Reservoir Media Inc. Warrant,Reservoir Media Inc. Warrant
Rumble Inc. Warrant,Rumble Inc. Warrant
Sunrun Inc. Common Stock,Sunrun Inc.
Rush Enterprises Inc. Class B,Rush Enterprises Inc. Class B
Rail Vision Ltd. Warrant,Rail Vision Ltd. Warrant
Ryvyl Inc. Common Stock,Ryvyl Inc.
RXO Inc. Common Stock,RXO Inc.
RXR Acquisition Corp. Units,RXR Acquisition Corp. Units
RxSight Inc. Common Stock,RxSight Inc.
Safehold Inc. Common Stock,Safehold Inc.
Saia Inc. Common Stock,Saia Inc.
SAP SE ADS,SAP SE ADS
Saratoga Investment Corp New,Saratoga Investment Corp New
Satellogic Inc. Warrant,Satellogic Inc. Warrant
Signature Bank Common Stock,Signature Bank
SCE TRUST VI,SCE TRUST VI
Stepan Company Common Stock,Stepan Company
ScION Tech Growth I Unit,ScION Tech Growth I Unit
ScION Tech Growth I Warrant,ScION Tech Growth I Warrant
ScION Tech Growth II Units,ScION Tech Growth II Units
comScore Inc. Common Stock,comScore Inc.
Steelcase Inc. Common Stock,Steelcase Inc.
ScanSource Inc. Common Stock,ScanSource Inc.
374Water Inc. Common Stock,374Water Inc.
SCYNEXIS Inc. Common Stock,SCYNEXIS Inc.
Schrodinger Inc. Common Stock,Schrodinger Inc.
Secoo Holding Limited ADS,Secoo Holding Limited ADS
Sesen Bio Inc. Common Stock,Sesen Bio Inc.
Sono Group N.V. Common Shares,Sono Group N.V. Common Shares
SFL Corporation Ltd,SFL Corporation Ltd
SG Blocks Inc. Common Stock,SG Blocks Inc.
Seagen Inc. Common Stock,Seagen Inc.
SPAR Group Inc. Common Stock,SPAR Group Inc.
Star Group L.P. Common Stock,Star Group L.P.
Sharecare Inc. Warrant,Sharecare Inc. Warrant
SHF Holdings Inc. Warrants,SHF Holdings Inc. Warrants
SI-BONE Inc. Common Stock,SI-BONE Inc.
Sientra Inc. Common Stock,Sientra Inc.
Sprott Inc. Common Shares,Sprott Inc. Common Shares
Silicom Ltd Ordinary Shares,Silicom Ltd Ordinary Shares
Silo Pharma Inc. Common Stock,Silo Pharma Inc.
Shineco Inc. Common Stock,Shineco Inc.
SJW Group Common Stock (DE),SJW Group (DE)
SkyWest Inc. Common Stock,SkyWest Inc.
Slam Corp. Unit,Slam Corp. Unit
Slam Corp. warrant,Slam Corp. warrant
Solid Power Inc. Warrant,Solid Power Inc. Warrant
SomaLogic Inc. Warrant,SomaLogic Inc. Warrant
SLM Corporation Common Stock,SLM Corporation
SelectQuote Inc. Common Stock,SelectQuote Inc.
Sema4 Holdings Corp. Warrant,Sema4 Holdings Corp. Warrant
Stryve Foods Inc. Warrant,Stryve Foods Inc. Warrant
Smart Sand Inc. Common Stock,Smart Sand Inc.
SNDL Inc. Common Shares,SNDL Inc. Common Shares
SenesTech Inc. Common Stock,SenesTech Inc.
Soligenix Inc. Common Stock,Soligenix Inc.
Synopsys Inc. Common Stock,Synopsys Inc.
Sanofi ADS,Sanofi ADS
SOBR Safe Inc. Common Stock,SOBR Safe Inc.
Sonder Holdings Inc. Warrants,Sonder Holdings Inc. Warrants
Sonos Inc. Common Stock,Sonos Inc.
Sonendo Inc. Common Stock,Sonendo Inc.
SoundHound AI Inc. Warrant,SoundHound AI Inc. Warrant
S&P Global Inc. Common Stock,S&P Global Inc.
SPK Acquisition Corp. Right,SPK Acquisition Corp. Right
SPK Acquisition Corp Unit,SPK Acquisition Corp Unit
Splunk Inc. Common Stock,Splunk Inc.
SciSparc Ltd. Ordinary Shares,SciSparc Ltd. Ordinary Shares
SeqLL Inc. Common stock,SeqLL Inc.
SeqLL Inc. Warrant,SeqLL Inc. Warrant
Spire Inc. Common Stock,Spire Inc.
Stericycle Inc. Common Stock,Stericycle Inc.
Surmodics Inc. Common Stock,Surmodics Inc.
DBA Sempra Common Stock,DBA Sempra
Stoneridge Inc. Common Stock,Stoneridge Inc.
Scully Royalty Ltd.,Scully Royalty Ltd.
StarTek Inc. Common Stock,StarTek Inc.
Surrozen Inc. Common Stock,Surrozen Inc.
SSR Mining Inc. Common Stock,SSR Mining Inc.
ShotSpotter Inc. Common Stock,ShotSpotter Inc.
iStar Inc. Common Stock,iStar Inc.
S&T Bancorp Inc. Common Stock,S&T Bancorp Inc.
Neuronetics Inc. Common Stock,Neuronetics Inc.
Semantix Inc. Warrant,Semantix Inc. Warrant
SunOpta Inc. Common Stock,SunOpta Inc.
Stellantis N.V. Common Shares,Stellantis N.V. Common Shares
Steel Dynamics Inc.,Steel Dynamics Inc.
Stantec Inc Common Stock,Stantec Inc
Stran & Company Inc. Warrant,Stran & Company Inc. Warrant
Stereotaxis Inc. Common Stock,Stereotaxis Inc.
Sumo Logic Inc. Common Stock,Sumo Logic Inc.
Sunworks Inc. Common Stock,Sunworks Inc.
SurgePays Inc. Common Stock,SurgePays Inc.
SurgePays Inc. Warrant,SurgePays Inc. Warrant
SVF Investment Corp. Unit,SVF Investment Corp. Unit
SVF Investment Corp. Warrant,SVF Investment Corp. Warrant
Save Foods Inc. Common Stock,Save Foods Inc.
Savara Inc. Common Stock,Savara Inc.
SaverOne 2014 Ltd. Warrant,SaverOne 2014 Ltd. Warrant
Athlon Acquisition Corp. Unit,Athlon Acquisition Corp. Unit
Swvl Holdings Corp Warrant,Swvl Holdings Corp Warrant
Synlogic Inc. Common Stock,Synlogic Inc.
Siyata Mobile Inc. Warrant,Siyata Mobile Inc. Warrant
Sizzle Acquisition Corp. Unit,Sizzle Acquisition Corp. Unit
AT&T Inc.,AT&T Inc.
Talkspace Inc. Common Stock,Talkspace Inc.
Talkspace Inc. Warrant,Talkspace Inc. Warrant
Taoping Inc. Ordinary Shares,Taoping Inc. Ordinary Shares
The Bancorp Inc Common Stock,The Bancorp Inc
TrueBlue Inc. Common Stock,TrueBlue Inc.
Taboola.com Ltd. Warrant,Taboola.com Ltd. Warrant
TB SA Acquisition Corp Unit,TB SA Acquisition Corp Unit
TriCo Bancshares Common Stock,TriCo Bancshares
Tricida Inc. Common Stock,Tricida Inc.
Tidewater Inc. Common Stock,Tidewater Inc.
Bio-Techne Corp Common Stock,Bio-Techne Corp
Telefonica SA Common Stock,Telefonica SA
TELA Bio Inc. Common Stock,TELA Bio Inc.
Tellurian Inc. Common Stock,Tellurian Inc.
TenX Keane Acquisition Unit,TenX Keane Acquisition Unit
Telecom Argentina SA,Telecom Argentina SA
Teradyne Inc. Common Stock,Teradyne Inc.
Transphorm Inc. Common Stock,Transphorm Inc.
TEGNA Inc,TEGNA Inc
Hanover Insurance Group Inc,Hanover Insurance Group Inc
Gentherm Inc Common Stock,Gentherm Inc
Instil Bio Inc. Common Stock,Instil Bio Inc.
Interface Inc. Common Stock,Interface Inc.
Tio Tech A Units,Tio Tech A Units
Tio Tech A Warrants,Tio Tech A Warrants
Tiptree Inc. Common Stock,Tiptree Inc.
Team Inc. Common Stock,Team Inc.
Tilly's Inc. Common Stock,Tilly's Inc.
T-Mobile US Inc. Common Stock,T-Mobile US Inc.
Tennant Company Common Stock,Tennant Company
Tango Therapeutics Inc.,Tango Therapeutics Inc.
Teekay Tankers Ltd.,Teekay Tankers Ltd.
TOP Ships Inc. Common Stock,TOP Ships Inc.
TowneBank Common Stock,TowneBank
TPG Inc. Class A Common Stock,TPG Inc. Class A
Tapestry Inc. Common Stock,Tapestry Inc.
Tejon Ranch Co Common Stock,Tejon Ranch Co
LendingTree Inc. Common Stock,LendingTree Inc.
TripAdvisor Inc. Common Stock,TripAdvisor Inc.
Trimble Inc. Common Stock,Trimble Inc.
TORM plc Class A Common Stock,TORM plc Class A
Transcat Inc. Common Stock,Transcat Inc.
TROOPS Inc. Ordinary Shares,TROOPS Inc. Ordinary Shares
TransUnion Common Stock,TransUnion
TrueCar Inc. Common Stock,TrueCar Inc.
Trupanion Inc. Common Stock,Trupanion Inc.
Trevena Inc. Common Stock,Trevena Inc.
Trinseo PLC Ordinary Shares,Trinseo PLC Ordinary Shares
Tesla Inc. Common Stock,Tesla Inc.
Tyson Foods Inc. Common Stock,Tyson Foods Inc.
TSR Inc. Common Stock,TSR Inc.
Trane Technologies plc,Trane Technologies plc
TotalEnergies SE,TotalEnergies SE
Tetra Tech Inc. Common Stock,Tetra Tech Inc.
TechTarget Inc. Common Stock,TechTarget Inc.
Tennessee Valley Authority,Tennessee Valley Authority
Two Harbors Investment Corp,Two Harbors Investment Corp
two Class A Ordinary Shares,two Class A Ordinary Shares
2U Inc. Common Stock,2U Inc.
Textron Inc. Common Stock,Textron Inc.
Cryptyde Inc. Common Stock,Cryptyde Inc.
Travelzoo Common Stock,Travelzoo
Udemy Inc. Common Stock,Udemy Inc.
UDR Inc. Common Stock,UDR Inc.
Unifi Inc. New Common Stock,Unifi Inc. New
UGI Corporation Common Stock,UGI Corporation
urban-gro Inc. Common Stock,urban-gro Inc.
Amerco Common Stock,Amerco
Ubiquiti Inc. Common Stock,Ubiquiti Inc.
Unilever PLC Common Stock,Unilever PLC
Ulta Beauty Inc. Common Stock,Ulta Beauty Inc.
Uniti Group Inc. Common Stock,Uniti Group Inc.
Unum Group Common Stock,Unum Group
UpHealth Inc. Common Stock,UpHealth Inc.
Upwork Inc. Common Stock,Upwork Inc.
Upexi Inc. Common Stock,Upexi Inc.
U.S. Gold Corp. Common Stock,U.S. Gold Corp.
U.S. Bancorp Common Stock,U.S. Bancorp
UserTesting Inc. Common Stock,UserTesting Inc.
Usio Inc. Common Stock,Usio Inc.
UTime Limited Ordinary Shares,UTime Limited Ordinary Shares
Uxin Limited ADS,Uxin Limited ADS
Visa Inc.,Visa Inc.
Valaris Limited Common Shares,Valaris Limited Common Shares
Value Line Inc. Common Stock,Value Line Inc.
Vapotherm Inc. Common Stock,Vapotherm Inc.
INNOVATE Corp. Common Stock,INNOVATE Corp.
VersaBank Common Shares,VersaBank Common Shares
Vaccinex Inc. Common Stock,Vaccinex Inc.
Veracyte Inc. Common Stock,Veracyte Inc.
VEON Ltd. ADS,VEON Ltd. ADS
Veritone Inc. Common Stock,Veritone Inc.
Veru Inc. Common Stock,Veru Inc.
Vericity Inc. Common Stock,Vericity Inc.
V.F. Corporation Common Stock,V.F. Corporation
Vista Gold Corp Common Stock,Vista Gold Corp
Valhi Inc. Common Stock,Valhi Inc.
View Inc. Warrant,View Inc. Warrant
7GC & Co. Holdings Inc. Unit,7GC & Co. Holdings Inc. Unit
Vital Farms Inc. Common Stock,Vital Farms Inc.
Vivakor Inc. Common Stock,Vivakor Inc.
Volcon Inc. Common stock,Volcon Inc.
Velo3D Inc. Common Stock,Velo3D Inc.
Velodyne Lidar Inc. Warrants,Velodyne Lidar Inc. Warrants
Invesco High Income Trust II,Invesco High Income Trust II
Vimeo Inc. Common Stock,Vimeo Inc.
ViewRay Inc. Common Stock,ViewRay Inc.
Vroom Inc. Common Stock,Vroom Inc.
VerifyMe Inc. Common Stock,VerifyMe Inc.
VerifyMe Inc. Warrant,VerifyMe Inc. Warrant
VeriSign Inc. Common Stock,VeriSign Inc.
ViaSat Inc. Common Stock,ViaSat Inc.
VSE Corporation Common Stock,VSE Corporation
Vistra Corp. Common Stock,Vistra Corp.
Verastem Inc. Common Stock,Verastem Inc.
VTEX Class A Common Shares,VTEX Class A Common Shares
Ventas Inc. Common Stock,Ventas Inc.
Viatris Inc. Common Stock,Viatris Inc.
Vitru Limited Common Shares,Vitru Limited Common Shares
VirTra Inc. Common Stock,VirTra Inc.
Viad Corp Common Stock,Viad Corp
Vivint Smart Home Inc.,Vivint Smart Home Inc.
Valvoline Inc. Common Stock,Valvoline Inc.
V2X Inc. Common Stock,V2X Inc.
Vaxart Inc Common Stock,Vaxart Inc
Vyant Bio Inc. Common Stock,Vyant Bio Inc.
Waldencast plc Warrant,Waldencast plc Warrant
WaveDancer Inc. Common Stock,WaveDancer Inc.
Winc Inc. Common Stock,Winc Inc.
WD-40 Company Common Stock,WD-40 Company
Wejo Group Limited Warrant,Wejo Group Limited Warrant
Welltower Inc. Common Stock,Welltower Inc.
WEX Inc. common stock,WEX Inc.
Weyco Group Inc. Common Stock,Weyco Group Inc.
Wingstop Inc. Common Stock,Wingstop Inc.
Wipro Limited Common Stock,Wipro Limited
Wix.com Ltd. Ordinary Shares,Wix.com Ltd. Ordinary Shares
WalkMe Ltd. Ordinary Shares,WalkMe Ltd. Ordinary Shares
Worksport Ltd. Common Stock,Worksport Ltd.
Worksport Ltd. Warrant,Worksport Ltd. Warrant
Wearable Devices Ltd. Warrant,Wearable Devices Ltd. Warrant
Walmart Inc. Common Stock,Walmart Inc.
Wolfspeed Inc. Common Stock,Wolfspeed Inc.
SCWorx Corp. Common Stock,SCWorx Corp.
W. P. Carey Inc. REIT,W. P. Carey Inc. REIT
Westrock Company Common Stock,Westrock Company
WesBanco Inc. Common Stock,WesBanco Inc.
Watsco Inc. Common Stock,Watsco Inc.
Watsco Inc.,Watsco Inc.
Whitestone REIT Common Shares,Whitestone REIT Common Shares
WisdomTree Inc. Common Stock,WisdomTree Inc.
TeraWulf Inc. Common Stock,TeraWulf Inc.
Woodward Inc. Common Stock,Woodward Inc.
Beyond Air Inc. Common Stock,Beyond Air Inc.
XBiotech Inc. Common Stock,XBiotech Inc.
Exicure Inc. Common Stock,Exicure Inc.
Xcel Energy Inc. Common Stock,Xcel Energy Inc.
Xcel Brands Inc. Common Stock,Xcel Brands Inc.
Exagen Inc. Common Stock,Exagen Inc.
Xencor Inc. Common Stock,Xencor Inc.
XOMA Corporation Common Stock,XOMA Corporation
Xos Inc. Common Stock,Xos Inc.
Xos Inc. Warrants,Xos Inc. Warrants
XP Inc. Class A Common Stock,XP Inc. Class A
XPAC Acquisition Corp. Unit,XPAC Acquisition Corp. Unit
XPEL Inc. Common Stock,XPEL Inc.
Xperi Inc. Common Stock,Xperi Inc.
XPO Logistics Inc.,XPO Logistics Inc.
Expion360 Inc. Common Stock,Expion360 Inc.
XWELL Inc. Common Stock,XWELL Inc.
Xylem Inc. Common Stock New,Xylem Inc. New
cbdMD Inc. Common Stock,cbdMD Inc.
Yelp Inc. Common Stock,Yelp Inc.
Yext Inc. Common Stock,Yext Inc.
Yum! Brands Inc.,Yum! Brands Inc.
Ziff Davis Inc. Common Stock,Ziff Davis Inc.
Zendesk Inc. Common Stock,Zendesk Inc.
ZimVie Inc. Common Stock,ZimVie Inc.
Zivo Bioscience Inc. Warrants,Zivo Bioscience Inc. Warrants
Zomedica Corp. Common Shares,Zomedica Corp. Common Shares
Zscaler Inc. Common Stock,Zscaler Inc.
Zentek Ltd. Common Stock,Zentek Ltd.
Virtus Total Return Fund Inc.,Virtus Total Return Fund Inc.
Zumiez Inc. Common Stock,Zumiez Inc.
Zymeworks Inc. Common Shares,Zymeworks Inc. Common Shares
Zynex Inc. Common Stock,Zynex Inc.
