Symbol,Company
AAON,AAON Inc. Common Stock
AAP,Advance Auto Parts Inc.
AAPL,Apple Inc. Common Stock
ABB,ABB Ltd Common Stock
ABBV,AbbVie Inc. Common Stock
ABCB,Ameris Bancorp Common Stock
ABMD,ABIOMED Inc. Common Stock
ACA,Arcosa Inc. Common Stock 
ACCD,Accolade Inc. Common Stock
ACDCW,ProFrac Holding Corp. Warrant
ACEL,Accel Entertainment Inc. 
ACET,Adicet Bio Inc. Common Stock 
ACIU,AC Immune SA Common Stock
ACLX,Arcellx Inc. Common Stock
ACM,AECOM Common Stock
ACNB,ACNB Corporation Common Stock
ACON,Aclarion Inc. Common Stock
ACONW,Aclarion Inc. Warrant
ADBE,Adobe Inc. Common Stock
ADEA,Adeia Inc. Common Stock
ADNT,Adient plc Ordinary Shares 
ADOCR,Edoc Acquisition Corp. Right
ADSEW,ADS-TEC ENERGY PLC Warrant
ADSK,Autodesk Inc. Common Stock
ADT,ADT Inc. Common Stock
ADTX,Aditxt Inc. Common Stock
AEG,AEGON N.V. Common Stock
AEI,Alset Inc. Common Stock (TX)
AEYE,AudioEye Inc. Common Stock
AFAQU,AF Acquisition Corp. Units
AFAQW,AF Acquisition Corp. Warrants
AFCG,AFC Gamma Inc. Common Stock
AFMD,Affimed N.V.
AFRIW,Forafric Global PLC Warrants
AGCO,AGCO Corporation Common Stock
AGEN,Agenus Inc. Common Stock
AGGRU,Agile Growth Corp. Units
AGGRW,Agile Growth Corp. Warrant.
AGR,Avangrid Inc. Common Stock
AGRO,Adecoagro S.A. Common Shares
AGS,PlayAGS Inc. Common Stock
AGTI,Agiliti Inc. Common Stock
AGX,Argan Inc. Common Stock
AHG,Akso Health Group ADS
AIMD,Ainos Inc. Common Stock
AIMDW,Ainos Inc. Warrants
AIP,Arteris Inc. Common Stock
AIR,AAR Corp. Common Stock
AIRG,Airgain Inc. Common Stock
AIRT,Air T Inc. Common Stock
AIU,Meta Data Limited ADS
AIZ,Assurant Inc. Common Stock
AJX,Great Ajax Corp. Common Stock
AKAN,Akanda Corp. Common Shares
AKLI,Akili Inc. Common Stock
AKO/A,Embotelladora Andina S.A.
AKO/B,Embotelladora Andina S.A.
AKTX,Akari Therapeutics plc ADS
AKU,Akumin Inc. Common Stock (DE)
AKUS,Akouos Inc. Common Stock
ALC,Alcon Inc. Ordinary Shares
ALCO,Alico Inc. Common Stock
ALE,Allete Inc.
ALEC,Alector Inc. Common Stock
ALG,Alamo Group Inc. Common Stock
ALKS,Alkermes plc Ordinary Shares
ALLE,Allegion plc Ordinary Shares
ALLG,Allego N.V. Ordinary Share
ALLK,Allakos Inc. Common Stock
ALLT,Allot Ltd. Ordinary Shares
ALOT,AstroNova Inc. Common Stock
ALR,AlerisLife Inc. Common Stock
ALT,Altimmune Inc. Common Stock
ALV,Autoliv Inc. Common Stock
ALVO,Alvotech Ordinary Shares
ALVOW,Alvotech Warrant
ALVR,AlloVir Inc. Common Stock
ALX,Alexander's Inc. Common Stock
AMCR,Amcor plc Ordinary Shares
AME,AMETEK Inc.
AMED,Amedisys Inc Common Stock
AMGN,Amgen Inc. Common Stock
AMPGW,Amplitech Group Inc. Warrants
AMRN,Amarin Corporation plc
AMRS,Amyris Inc. Common Stock
AMSF,AMERISAFE Inc. Common Stock
AMST,Amesite Inc. Common Stock
AMZN,Amazon.com Inc. Common Stock
AN,AutoNation Inc. Common Stock
ANAB,AnaptysBio Inc. Common Stock
ANGH,Anghami Inc. Ordinary Shares
ANGHW,Anghami Inc. Warrants
ANIP,ANI Pharmaceuticals Inc.
ANNX,Annexon Inc. Common Stock
ANSS,ANSYS Inc. Common Stock
ANVS,Annovis Bio Inc. Common Stock
ANY,Sphere 3D Corp. Common Shares
AORT,Artivion Inc. Common Stock
APA,APA Corporation Common Stock
APGN,Apexigen Inc. Common Stock
APGNW,Apexigen Inc. Warrant
APPH,AppHarvest Inc. Common Stock
APPHW,AppHarvest Inc. Warrants
APTV,Aptiv PLC Ordinary Shares
APTX,Aptinyx Inc. Common Stock
APXIU,APx Acquisition Corp. I Unit
AQMS,Aqua Metals Inc. Common Stock
ARAV,Aravive Inc. Common Stock
ARBEW,Arbe Robotics Ltd. Warrant
ARBGU,Aequi Acquisition Corp. Unit
ARDX,Ardelyx Inc. Common Stock
ARGUU,Argus Capital Corp. Unit
ARGUW,Argus Capital Corp. Warrant
ARIZR,Arisz Acquisition Corp. Right
ARKO,ARKO Corp. Common Stock
ARKOW,ARKO Corp. Warrant
ARMK,Aramark Common Stock
AROC,Archrock Inc. Common Stock
ARQQW,Arqit Quantum Inc. Warrants
ARR,ARMOUR Residential REIT Inc.
ARVL,Arrival Ordinary Shares
ARVN,Arvinas Inc. Common Stock
ASAI,Sendas Distribuidora S A ADS
ASAXU,Astrea Acquisition Corp. Unit
ASH,Ashland Inc. Common Stock
ASIX,AdvanSix Inc. Common Stock 
ASPA,ABRI SPAC I INC. Common Stock
ASPAW,ABRI SPAC I INC. Warrant
ASPU,Aspen Group Inc. Common Stock
ASTSW,AST SpaceMobile Inc. Warrant
ATCO,Atlas Corp. Common Shares
ATCO^D,Atlas Corp. 7.95% Series D
ATCO^H,Atlas Corp. 7.875% Series H
ATER,Aterian Inc. Common Stock
ATEX,Anterix Inc. Common Stock
ATHX,Athersys Inc. Common Stock
ATI,ATI Inc. Common Stock
ATKR,Atkore Inc. Common Stock
ATNX,Athenex Inc. Common Stock
ATR,AptarGroup Inc. Common Stock
ATRC,AtriCure Inc. Common Stock
ATTO,Atento S.A. Ordinary Shares
AUD,Audacy Common Stock
AUDC,AudioCodes Ltd. Common Stock
AUGX,Augmedix Inc. Common Stock
AUID,authID Inc. Common Stock
AURCU,Aurora Acquisition Corp. Unit
AUUD,Auddia Inc. Common Stock
AUUDW,Auddia Inc. Warrants
AUVI,Applied UV Inc. Common Stock
AVGO,Broadcom Inc. Common Stock
AVGR,Avinger Inc. Common Stock
AVPTW,AvePoint Inc. Warrant
AVRO,AVROBIO Inc. Common Stock
AVT,Avnet Inc. Common Stock
AVTR,Avantor Inc. Common Stock
AWRE,Aware Inc. Common Stock
AXGN,Axogen Inc. Common Stock
AXNX,Axonics Inc. Common Stock
AXTI,AXT Inc Common Stock
AYI,Acuity Brands Inc. 
AYRO,AYRO Inc. Common Stock
AZO,AutoZone Inc. Common Stock
AZTA,Azenta Inc.
AZZ,AZZ Inc.
BAK,Braskem SA ADR
BALL,Ball Corporation Common Stock
BAP,Credicorp Ltd. Common Stock
BASE,Couchbase Inc. Common Stock
BBAI,BigBear.ai Inc. Common Stock
BBAR,Banco BBVA Argentina S.A. ADS
BBDC,Barings BDC Inc. Common Stock
BBLGW,Bone Biologics Corp Warrants
BBWI,Bath & Body Works Inc.
BCAB,BioAtla Inc. Common Stock
BCDA,BioCardia Inc. Common Stock
BCDAW,BioCardia Inc. Warrant
BCE,BCE Inc. Common Stock
BCML,BayCom Corp Common Stock
BCOR,Blucora Inc. Common Stock
BCOV,Brightcove Inc. Common Stock
BCS,Barclays PLC Common Stock
BCV,Bancroft Fund Ltd.
BDC,Belden Inc Common Stock
BDSX,Biodesix Inc. Common Stock
BEAT,Heartbeam Inc. Common Stock
BEATW,Heartbeam Inc. Warrant
BEEM,Beam Global Common Stock
BEEMW,Beam Global Warrant
BF/A,Brown Forman Corporation
BF/B,Brown Forman Corporation
BFRI,Biofrontera Inc. Common Stock
BFRIW,Biofrontera Inc. Warrants
BG,Bunge Limited Bunge Limited
BGI,Birks Group Inc. Common Stock
BGRYW,Berkshire Grey Inc. Warrant
BGSF,BGSF Inc. Common Stock
BHIL,Benson Hill Inc. Common Stock
BHVN,Biohaven Ltd. Common Shares 
BIDU,Baidu Inc. ADS
BIG,Big Lots Inc. Common Stock
BIIB,Biogen Inc. Common Stock
BIO/B,Bio-Rad Laboratories Inc.
BIOC,Biocept Inc. Common Stock
BIOL,Biolase Inc. Common Stock
BITF,Bitfarms Ltd. Common Stock
BKU,BankUnited Inc. Common Stock
BL,BlackLine Inc. Common Stock
BLD,TopBuild Corp. Common Stock
BLEUR,bleuacacia ltd Rights
BLEUW,bleuacacia ltd Warrants
BLK,BlackRock Inc. Common Stock
BLKB,Blackbaud Inc. Common Stock
BLNKW,Blink Charging Co. Warrant
BMO,Bank Of Montreal Common Stock
BMRA,Biomerica Inc. Common Stock
BNGOW,Bionano Genomics Inc. Warrant
BOOM,DMC Global Inc. Common Stock
BOX,Box Inc. Class A Common Stock
BOXD,Boxed Inc. Common Stock
BP,BP p.l.c. Common Stock
BPOP,Popular Inc. Common Stock
BRCC,BRC Inc. Class A Common Stock
BRFS,BRF S.A.
BRK/A,Berkshire Hathaway Inc.
BRK/B,Berkshire Hathaway Inc.
BRSHW,Bruush Oral Care Inc. Warrant
BSAC,Banco Santander - Chile ADS
BSRR,Sierra Bancorp Common Stock
BSVN,Bank7 Corp. Common stock
BTBD,BT Brands Inc. Common Stock
BTBDW,BT Brands Inc. Warrant
BTCM,BIT Mining Limited ADS
BTCS,BTCS Inc. Common Stock
BTCY,Biotricity Inc. Common Stock
BTMDW,Biote Corp. Warrant
BWA,BorgWarner Inc. Common Stock
BWEN,Broadwind Inc. Common Stock
BX,Blackstone Inc. Common Stock
BXRX,Baudax Bio Inc. Common Stock
BYND,Beyond Meat Inc. Common Stock
BZFDW,BuzzFeed Inc. Warrant
C,Citigroup Inc. Common Stock
CABO,Cable One Inc. Common Stock
CADE,Cadence Bank Common Stock
CADE^A,Cadence Bank 5.50% Series A 
CAE,CAE Inc. Ordinary Shares
CAL,Caleres Inc. Common Stock
CALX,Calix Inc Common Stock
CAMP,CalAmp Corp. Common Stock
CAMT,Camtek Ltd. Ordinary Shares
CANB,Can B Corp.
CARS,Cars.com Inc. Common Stock 
CAT,Caterpillar Inc. Common Stock
CB,Chubb Limited  Common Stock
CBRGU,Chain Bridge I Units
CBRGW,Chain Bridge I Warrants
CBZ,CBIZ Inc. Common Stock
CCK,Crown Holdings Inc.
CCZ,Comcast Holdings ZONES
CDLX,Cardlytics Inc. Common Stock
CDNA,CareDx Inc. Common Stock
CDW,CDW Corporation Common Stock
CDXS,Codexis Inc. Common Stock
CDZI,CADIZ Inc. Common Stock
CDZIP,Cadiz Inc. Depositary Shares
CEADW,CEA Industries Inc. Warrant
CELC,Celcuity Inc. Common Stock
CELUW,Celularity Inc. Warrant
CENQU,CENAQ Energy Corp. Unit
CENQW,CENAQ Energy Corp. Warrant
CEQP,Crestwood Equity Partners LP
CERT,Certara Inc. Common Stock
CETX,Cemtrex Inc. Common Stock
CEVA,CEVA Inc. Common Stock
CFIVU,CF Acquisition Corp. IV Unit
CFMS,Conformis Inc. Common Stock
CGEN,Compugen Ltd. Ordinary Shares
CHE,Chemed Corp
CHEK,Check-Cap Ltd. Ordinary Share
CHGG,Chegg Inc. Common Stock
CHS,Chico's FAS Inc. Common Stock
CHT,Chunghwa Telecom Co. Ltd.
CIB,BanColombia S.A. Common Stock
CIFRW,Cipher Mining Inc. Warrant
CING,Cingulate Inc. Common Stock
CINGW,Cingulate Inc. Warrants
CITEU,Cartica Acquisition Corp Unit
CKX,CKX Lands Inc. Common Stock
CLBTW,Cellebrite DI Ltd. Warrants
CLDX,Celldex Therapeutics Inc.
CLFD,Clearfield Inc. Common Stock
CLNN,Clene Inc. Common Stock
CLNNW,Clene Inc. Warrant
CLRCR,ClimateRock Right
CLRCU,ClimateRock Unit
CLRMU,Clarim Acquisition Corp. Unit
CLS,Celestica Inc. Common Stock
CLSK,CleanSpark Inc. Common Stock
CLVT,Clarivate Plc Ordinary Shares
CLXT,Calyxt Inc. Common Stock
CMAXW,CareMax Inc. Warrant
CMI,Cummins Inc. Common Stock
CMPOW,CompoSecure Inc. Warrant
CMRX,Chimerix Inc. Common Stock
CNTG,Centogene N.V. Common Shares
COHN,Cohen & Company Inc.
COHR,Coherent Corp. Common Stock
COHU,Cohu Inc. Common Stock
COLIU,Colicity Inc. Units
COLIW,Colicity Inc. Warrant
CONN,Conn's Inc. Common Stock
CONXU,CONX Corp. Unit
CONXW,CONX Corp. Warrant
COOK,Traeger Inc. Common Stock
COP,ConocoPhillips Common Stock
CORZW,Core Scientific Inc. Warrant
COUR,Coursera Inc. Common Stock
COVAU,COVA Acquisition Corp. Unit
CPRT,Copart Inc. (DE) Common Stock
CPTN,Cepton Inc. Common Stock
CPTNW,Cepton Inc. Warrant
CRD/A,Crawford & Company
CRD/B,Crawford & Company
CRI,Carter's Inc. Common Stock
CRIS,Curis Inc. Common Stock
CRM,Salesforce Inc. Common Stock
CRMD,CorMedix Inc. Common Stock
CRNC,Cerence Inc. Common Stock
CROX,Crocs Inc. Common Stock
CRVL,CorVel Corp. Common Stock
CRWS,Crown Crafts Inc Common Stock
CSAN,Cosan S.A. ADS
CSPI,CSP Inc. Common Stock
CSX,CSX Corporation Common Stock
CTIB,Yunhong CTI Ltd. Common Stock
CTLP,Cantaloupe Inc. Common Stock
CTLT,Catalent Inc. Common Stock
CTM,Castellum Inc. Common Stock
CTRN,Citi Trends Inc. Common Stock
CTS,CTS Corporation Common Stock
CTV,Innovid Corp. Common Stock
CTVA,Corteva Inc. Common Stock 
CUBE,CubeSmart Common Shares
CUEN,Cuentas Inc. Common Stock
CUENW,Cuentas Inc. Warrant
CUK,Carnival Plc ADS ADS
CULP,Culp Inc. Common Stock
CURIW,CuriosityStream Inc. Warrant
CUTR,Cutera Inc. Common Stock
CVAC,CureVac N.V. Ordinary Shares
CVI,CVR Energy Inc. Common Stock
CVRX,CVRx Inc. Common Stock
CWBR,CohBar Inc. Common Stock
CXDO,Crexendo Inc. Common Stock
CXW,CoreCivic Inc. Common Stock
CYBN,Cybin Inc. Common Shares
CYN,Cyngn Inc. Common Stock
CYRN,CYREN Ltd. Ordinary Shares
CYRX,CryoPort Inc. Common Stock
DAKT,Daktronics Inc. Common Stock
DATS,DatChat Inc. Common Stock
DAVEW,Dave Inc. Warrants
DB,Deutsche Bank AG Common Stock
DBRG,DigitalBridge Group Inc.
DCBO,Docebo Inc. Common Shares
DCFCW,Tritium DCFC Limited Warrant
DCGO,DocGo Inc. Common Stock
DDS,Dillard's Inc. Common Stock
DDT,Dillard's Capital Trust I
DE,Deere & Company Common Stock
DEN,Denbury Inc. Common Stock
DEO,Diageo plc Common Stock
DHBCU,DHB Capital Corp. Unit
DHBCW,DHB Capital Corp. Warrant
DHCAU,DHC Acquisition Corp. Unit
DHCAW,DHC Acquisition Corp. Warrant
DHI,D.R. Horton Inc. Common Stock
DHT,DHT Holdings Inc.
DHX,DHI Group Inc. Common Stock
DIBS,1stdibs.com Inc. Common Stock
DLHC,DLH Holdings Corp.
DLTR,Dollar Tree Inc. Common Stock
DMTK,DermTech Inc. Common Stock
DNAY,Codex DNA Inc. Common Stock
DNOW,NOW Inc. Common Stock
DOCU,DocuSign Inc. Common Stock
DOLE,Dole plc Ordinary Shares
DOW,Dow Inc. Common Stock 
DPRO,Draganfly Inc. Common Shares
DRQ,Dril-Quip Inc. Common Stock
DS,Drive Shack Inc.
DS^D,Drive Shack Inc. Pfd Ser D
DSKE,Daseke Inc. Common Stock
DSS,DSS Inc. Common Stock
DT,Dynatrace Inc. Common Stock
DTEA,DAVIDsTEA Inc. Common Stock
DTSS,Datasea Inc. Common Stock
DVA,DaVita Inc. Common Stock
DXCM,DexCom Inc. Common Stock
DZSI,DZS Inc. Common Stock
E,ENI S.p.A. Common Stock
EACPU,Edify Acquisition Corp. Units
EAR,Eargo Inc. Common Stock
EBAY,eBay Inc. Common Stock
EBET,EBET INC. Common Stock
EBF,Ennis Inc. Common Stock
EBIX,Ebix Inc. Common Stock
ECBK,ECB Bancorp Inc. Common Stock
ECL,Ecolab Inc. Common Stock
ECOR,electroCore Inc. Common Stock
ECVT,Ecovyst Inc. Common Stock
EDRY,EuroDry Ltd. Common Shares 
EFX,Equifax Inc. Common Stock
EFXT,Enerflex Ltd Common Shares
EGHT,8x8 Inc Common Stock
EGIO,Edgio Inc. Common Stock
EH,EHang Holdings Limited ADS
EHAB,Enhabit Inc. Common Stock
EHTH,eHealth Inc. Common Stock
ELMD,Electromed Inc. Common Stock
ELME,Elme Communities Common Stock
ELTK,Eltek Ltd. Ordinary Shares
EMBC,Embecta Corp. Common Stock
EME,EMCOR Group Inc. Common Stock
ENB,Enbridge Inc Common Stock
ENS,EnerSys Common Stock
ENTG,Entegris Inc. Common Stock
ENTXW,Entera Bio Ltd. Warrant
ENV,Envestnet Inc Common Stock
EOLS,Evolus Inc. Common Stock
EPIX,ESSA Pharma Inc. Common Stock
EPR,EPR Properties Common Stock
EQ,Equillium Inc. Common Stock
EQNR,Equinor ASA
EQRX,EQRx Inc.  Common Stock
EQRXW,EQRx Inc. Warrant
EQT,EQT Corporation Common Stock
ERAS,Erasca Inc. Common Stock
ERJ,Embraer S.A. Common Stock
ESAB,ESAB Corporation Common Stock
ESMT,EngageSmart Inc. Common Stock
ESTC,Elastic N.V. Ordinary Shares
ETNB,89bio Inc. Common Stock
ETSY,Etsy Inc. Common Stock
EURN,Euronav NV Ordinary Shares
EVA,Enviva Inc. Common Stock
EVBG,Everbridge Inc. Common Stock
EVEX,Eve Holding Inc. Common Stock
EVGN,Evogene Ltd Ordinary Shares
EVGOW,EVgo Inc. Warrants
EVGRW,Evergreen Corporation Warrant
EVOJU,Evo Acquisition Corp. Unit
EVOJW,Evo Acquisition Corp. Warrant
EVRG,Evergy Inc. Common Stock
EVTC,Evertec Inc. Common Stock
EXEL,Exelixis Inc. Common Stock
EXPO,Exponent Inc. Common Stock
EXPR,Express Inc. Common Stock
EYEN,Eyenovia Inc. Common Stock
FAMI,Farmmi Inc. Ordinary Shares
FAST,Fastenal Company Common Stock
FATBW,FAT Brands Inc. Warrant
FAZEW,FaZe Holdings Inc. Warrant
FBMS,First Bancshares Inc.
FBNC,First Bancorp Common Stock
FEMY,Femasys Inc. Common Stock
FERG,Ferguson plc Ordinary Shares
FFBW,FFBW Inc. Common Stock (MD)
FFIV,F5 Inc. Common Stock
FGEN,FibroGen Inc Common Stock
FGIWW,FGI Industries Ltd. Warrant
FGMC,FG Merger Corp. Common Stock
FGMCU,FG Merger Corp. Unit
FGMCW,FG Merger Corp. Warrant
FHLTU,Future Health ESG Corp. Unit
FINW,FinWise Bancorp Common Stock
FISV,Fiserv Inc. Common Stock
FIVE,Five Below Inc. Common Stock
FIVN,Five9 Inc. Common Stock
FL,Foot Locker Inc.
FLEX,Flex Ltd. Ordinary Shares
FLNG,FLEX LNG Ltd. Ordinary Shares
FLNT,Fluent Inc. Common Stock
FMC,FMC Corporation Common Stock
FN,Fabrinet Ordinary Shares
FNA,Paragon 28 Inc. Common Stock
FNV,Franco-Nevada Corporation
FNWD,Finward Bancorp Common Stock
FORA,Forian Inc. Common Stock
FPAY,FlexShopper Inc. Common Stock
FRBA,First Bank Common Stock
FREY,FREYR Battery Ordinary Shares
FROG,JFrog Ltd. Ordinary Shares
FRPT,Freshpet Inc. Common Stock
FRZA,Forza X1 Inc. Common Stock
FSBW,FS Bancorp Inc. Common Stock
FSLR,First Solar Inc. Common Stock
FSRDW,Fast Radius Inc. Warrants
FTCI,FTC Solar Inc. Common Stock
FTDR,Frontdoor Inc. Common Stock
FTEK,Fuel Tech Inc. Common Stock
FTI,TechnipFMC plc Ordinary Share
FTNT,Fortinet Inc. Common Stock
FTS,Fortis Inc. Common Shares
FUBO,fuboTV Inc. Common Stock
FUN,Cedar Fair L.P. Common Stock
FUV,Arcimoto Inc. Common Stock
FVCB,FVCBankcorp Inc. Common Stock
G,Genpact Limited Common Stock
GAN,GAN Limited Ordinary Shares
GASS,StealthGas Inc. Common Stock
GATX,GATX Corporation Common Stock
GAU,Galiano Gold Inc.
GCI,Gannett Co. Inc. Common Stock
GCMGW,GCM Grosvenor Inc. Warrant
GCO,Genesco Inc. Common Stock
GCTK,GlucoTrack Inc. Common Stock
GDS,GDS Holdings Limited ADS
GEN,Gen Digital Inc. Common Stock
GENE,Genetic Technologies Ltd ADS
GEO,Geo Group Inc (The) REIT
GES,Guess? Inc. Common Stock
GEVO,Gevo Inc. Common Stock
GGB,Gerdau S.A. Common Stock
GGE,Green Giant Inc. Common Stock
GGG,Graco Inc. Common Stock
GGR,Gogoro Inc. Ordinary Shares
GGROW,Gogoro Inc. Warrant
GHIXU,Gores Holdings IX Inc. Unit
GIB,CGI Inc. Common Stock
GIIXU,Gores Holdings VIII Inc. Unit
GL,Globe Life Inc. Common Stock
GLDG,GoldMining Inc. Common Shares
GLG,TD Holdings Inc. Common Stock
GLNG,Golar Lng Ltd
GLOB,Globant S.A. Common Shares
GLTO,Galecto Inc. Common Stock
GMAB,Genmab A/S ADS
GMS,GMS Inc. Common Stock
GNPX,Genprex Inc. Common Stock
GNSS,Genasys Inc. Common Stock
GOEVW,Canoo Inc. Warrant
GOGO,Gogo Inc. Common Stock
GOVX,GeoVax Labs Inc. Common Stock
GOVXW,GeoVax Labs Inc. Warrants
GPRK,Geopark Ltd Common Shares
GPS,Gap Inc. (The) Common Stock
GRABW,Grab Holdings Limited Warrant
GRIL,Muscle Maker Inc Common Stock
GRPN,Groupon Inc. Common Stock
GSAT,Globalstar Inc. Common Stock
GSEVU,Gores Holdings VII Inc. Units
GSIT,GSI Technology Common Stock
GTH,Genetron Holdings Limited ADS
GVP,GSE Systems Inc. Common Stock
GWH,ESS Tech Inc. Common Stock
GXIIU,GX Acquisition Corp. II Unit
GYRO,Gyrodyne LLC Common Stock
HAS,Hasbro Inc. Common Stock
HBI,Hanesbrands Inc. Common Stock
HCI,HCI Group Inc. Common Stock
HCMAW,HCM Acquisition Corp Warrant
HEI/A,Heico Corporation
HES,Hess Corporation Common Stock
HEXO,HEXO Corp. Common Shares
HFRO,Highland Income Fund
HGEN,Humanigen Inc. Common Stock
HHGCU,HHG Capital Corporation Units
HHS,Harte-Hanks Inc. Common Stock
HI,Hillenbrand Inc Common Stock
HIBB,Hibbett Inc. Common Stock
HITI,High Tide Inc. Common Shares
HLBZW,Helbiz Inc. Warrant
HLGN,Heliogen Inc. Common Stock
HLIT,Harmonic Inc. Common Stock
HLLY,Holley Inc. Common Stock
HLTH,Cue Health Inc. Common Stock
HLVX,HilleVax Inc. Common Stock
HMST,HomeStreet Inc. Common Stock
HNI,HNI Corporation Common Stock
HOLX,Hologic Inc. Common Stock
HOUR,Hour Loop Inc. Common Stock
HPKEW,HighPeak Energy Inc. Warrant
HPQ,HP Inc. Common Stock
HRB,H&R Block Inc. Common Stock
HSTO,Histogen Inc. Common Stock
HTH,Hilltop Holdings Inc.
HTOOW,Fusion Fuel Green PLC Warrant
HUBB,Hubbell Inc Common Stock
HUBS,HubSpot Inc. Common Stock
HUM,Humana Inc. Common Stock
HUMA,Humacyte Inc. Common Stock
HUMAW,Humacyte Inc. Warrant
HVBC,HV Bancorp Inc. Common Stock
HWKN,Hawkins Inc. Common Stock
HYRE,HyreCar Inc. Common Stock
HYZNW,Hyzon Motors Inc. Warrants
IAA,IAA Inc. Common Stock 
IAC,IAC Inc. Common Stock
IAUX,i-80 Gold Corp. Common Shares
IBEX,IBEX Limited Common Shares
IBIO,iBio Inc. Common Stock
IBRX,ImmunityBio Inc. Common Stock
ICAD,iCAD Inc. Common Stock
ICLR,ICON plc Ordinary Shares
ICUI,ICU Medical Inc. Common Stock
ICVX,Icosavax Inc. Common Stock
IDA,IDACORP Inc. Common Stock
IDEX,Ideanomics Inc. Common Stock
IEX,IDEX Corporation Common Stock
IFRX,InflaRx N.V. Common Stock
IGACU,IG Acquisition Corp. Unit
IGACW,IG Acquisition Corp. Warrant
ILMN,Illumina Inc. Common Stock
IMACW,IMAC Holdings Inc. Warrant
IMAX,Imax Corporation Common Stock
IMGN,ImmunoGen Inc. Common Stock
IMNM,Immunome Inc. Common Stock
IMNN,Imunon Inc. Common Stock
IMRA,IMARA Inc. Common Stock
IMTX,Immatics N.V. Ordinary Shares
IMTXW,Immatics N.V. Warrants
IMUX,Immunic Inc. Common Stock
IMV,IMV Inc. Common Shares
IMVT,Immunovant Inc. Common Stock
INAB,IN8bio Inc. Common Stock
INBX,Inhibrx Inc. Common Stock
INCY,Incyte Corp. Common Stock
ING,ING Group N.V. Common Stock
INGN,Inogen Inc Common Stock
INMB,INmune Bio Inc. Common stock
INMD,InMode Ltd. Ordinary Shares
INOD,Innodata Inc. Common Stock
INPX,Inpixon Common Stock
INSG,Inseego Corp. Common Stock
INSI,Insight Select Income Fund
INSM,Insmed Inc. Common Stock
INTA,Intapp Inc. Common Stock
INTU,Intuit Inc. Common Stock
INTZ,Intrusion Inc. Common Stock
INUV,Inuvo Inc.
INVA,Innoviva Inc. Common Stock
INVE,Identiv Inc. Common Stock
IOBT,IO Biotech Inc. Common Stock
IONQ,IonQ Inc. Common Stock
IOSP,Innospec Inc. Common Stock
IPHA,Innate Pharma S.A. ADS
IPW,iPower Inc. Common Stock
IPWR,Ideal Power Inc. Common Stock
IRAAU,Iris Acquisition Corp Units
IRAAW,Iris Acquisition Corp Warrant
IRNT,IronNet Inc. Common Stock
IROQ,IF Bancorp Inc. Common Stock
ISEE,IVERIC bio Inc. Common Stock
ISPC,iSpecimen Inc. Common Stock
ISR,IsoRay Inc. Common Stock (DE)
ISUN,iSun Inc. Common Stock
IT,Gartner Inc. Common Stock
ITI,Iteris Inc. Common Stock
ITRI,Itron Inc. Common Stock
ITT,ITT Inc. Common Stock 
IVAC,Intevac Inc. Common Stock
IVDAW,Iveda Solutions Inc. Warrant
IVVD,Invivyd Inc. Common Stock
IVZ,Invesco Ltd Common Stock
IX,Orix Corp Ads Common Stock
IXAQU,IX Acquisition Corp. Unit
IXAQW,IX Acquisition Corp. Warrant
JAN,JanOne Inc. Common Stock (NV)
JBL,Jabil Inc. Common Stock
JFBRW,Jeffs' Brands Ltd Warrant
JILL,J. Jill Inc. Common Stock
JOAN,JOANN Inc. Common Stock
JOB,GEE Group Inc. Common Stock
JUPWW,Jupiter Wellness Inc. Warrant
JWN,Nordstrom Inc. Common Stock
JYNT,The Joint Corp. Common Stock
K,Kellogg Company Common Stock
KAI,Kadant Inc Common Stock
KAIRU,Kairos Acquisition Corp. Unit
